"Date_calls,""calls"""
"8/23/2019,""1671"""
"8/24/2019,""657"""
"8/25/2019,""480"""
"8/26/2019,""952"""
"8/27/2019,""1751"""
"8/28/2019,""1864"""
"8/29/2019,""1693"""
"8/30/2019,""1720"""
"8/31/2019,""1016"""
"9/1/2019,""631"""
"9/2/2019,""1825"""
"9/3/2019,""1635"""
"9/4/2019,""1707"""
"9/5/2019,""1553"""
"9/6/2019,""1628"""
"9/7/2019,""966"""
"9/8/2019,""583"""
"9/9/2019,""1814"""
"9/10/2019,""1727"""
"9/11/2019,""1765"""
"9/12/2019,""1551"""
"9/13/2019,""1583"""
"9/14/2019,""911"""
"9/15/2019,""527"""
"9/16/2019,""1687"""
"9/17/2019,""1666"""
"9/18/2019,""1501"""
"9/19/2019,""1414"""
"9/20/2019,""1515"""
"9/21/2019,""922"""
"9/22/2019,""596"""
"9/23/2019,""1654"""
"9/24/2019,""1593"""
"9/25/2019,""1607"""
"9/26/2019,""1720"""
"9/27/2019,""1649"""
"9/28/2019,""912"""
"9/29/2019,""617"""
"9/30/2019,""1741"""
"10/1/2019,""1966"""
"10/2/2019,""1835"""
"10/3/2019,""1721"""
"10/4/2019,""1749"""
"10/5/2019,""830"""
"10/6/2019,""439"""
"10/7/2019,""1466"""
"10/8/2019,""1428"""
"10/9/2019,""1603"""
"10/10/2019,""1580"""
"10/11/2019,""1640"""
"10/12/2019,""964"""
"10/13/2019,""489"""
"10/14/2019,""807"""
"10/15/2019,""1551"""
"10/16/2019,""1577"""
"10/17/2019,""1609"""
"10/18/2019,""1479"""
"10/19/2019,""845"""
"10/20/2019,""472"""
"10/21/2019,""1575"""
"10/22/2019,""1280"""
"10/23/2019,""1400"""
"10/24/2019,""1362"""
"10/25/2019,""1236"""
"10/26/2019,""809"""
"10/27/2019,""529"""
"10/28/2019,""1467"""
"10/29/2019,""1249"""
"10/30/2019,""1420"""
"10/31/2019,""1416"""
"11/1/2019,""1401"""
"11/2/2019,""985"""
"11/3/2019,""542"""
"11/4/2019,""1801"""
"11/5/2019,""1602"""
"11/6/2019,""1531"""
"11/7/2019,""1544"""
"11/8/2019,""1541"""
"11/9/2019,""1059"""
"11/10/2019,""615"""
"11/11/2019,""1691"""
"11/12/2019,""1526"""
"11/13/2019,""1408"""
"11/14/2019,""1388"""
"11/15/2019,""1439"""
"11/16/2019,""928"""
"11/17/2019,""611"""
"11/18/2019,""1536"""
"11/19/2019,""1451"""
"11/20/2019,""1431"""
"11/21/2019,""1480"""
"11/22/2019,""1456"""
"11/23/2019,""892"""
"11/24/2019,""531"""
"11/25/2019,""1839"""
"11/26/2019,""1950"""
"11/27/2019,""2387"""
"11/28/2019,""3124"""
"11/29/2019,""4266"""
"11/30/2019,""2219"""
"12/1/2019,""1061"""
"12/2/2019,""2660"""
"12/3/2019,""1989"""
"12/4/2019,""1977"""
"12/5/2019,""1808"""
"12/6/2019,""1740"""
"12/7/2019,""1063"""
"12/8/2019,""662"""
"12/9/2019,""1834"""
"12/10/2019,""1682"""
"12/11/2019,""1805"""
"12/12/2019,""1666"""
"12/13/2019,""1667"""
"12/14/2019,""959"""
"12/15/2019,""667"""
"12/16/2019,""2234"""
"12/17/2019,""2343"""
"12/18/2019,""2404"""
"12/19/2019,""1964"""
"12/20/2019,""1942"""
"12/21/2019,""1352"""
"12/22/2019,""747"""
"12/23/2019,""2450"""
"12/24/2019,""2357"""
"12/25/2019,""1711"""
"12/26/2019,""2386"""
"12/27/2019,""2916"""
"12/28/2019,""2259"""
"12/29/2019,""1092"""
"12/30/2019,""2097"""
"12/31/2019,""860"""
"1/1/2020,""116"""
"1/2/2020,""1120"""
